poppler-qt5 23.05.0-1
popt 1.19-1
portaudio 1:19.7.0-2
powerline-common 2.8.3-2
powerline-fonts 2.8.3-2
procps-ng 3.3.17-1
protobuf 21.12-2
psmisc 23.6-1
pulseaudio 16.1-6
python 3.11.3-1
python-babel 2.12.1-1
python-gobject 3.44.1-3
python-jinja 1:3.1.2-4
python-markupsafe 2.1.2-3
python-pyparsing 3.0.9-3
python-pytz 2023.3-1
qca-qt5 2.3.6-2
qt5-base 5.15.9+kde+r151-1
qt5-declarative 5.15.9+kde+r25-1
qt5-multimedia 5.15.9+kde+r3-1
qt5-speech 5.15.9+kde+r1-1
qt5-svg 5.15.9+kde+r8-1
qt5-translations 5.15.9-1
qt5-wayland 5.15.9+kde+r55-1
qt5-x11extras 5.15.9-1
rav1e 0.6.3-1
re2 1:20230301-1
readline 8.2.001-2
reflector 2021.11-7
ripgrep 13.0.0-3
rofi 1.7.5-1
rofi-calc 2.2.0-1
rtkit 0.13-2
rubberband 3.2.1-1
rustup 1.26.0-3
sdl2 2.26.5-2
sed 4.9-3
sequoia-sqv 1.1.0-1
shaderc 2023.3-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slang 2.3.3-2
slop 7.6-2
smbclient 4.18.2-2
snappy 1.1.9-2
sndio 1.9.0-1
solid 5.106.0-1
sonnet 5.106.0-1
sound-theme-freedesktop 0.8-5
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.4-1
sqlite 3.42.0-1
srt 1.5.1-3
startup-notification 0.12-7
steam 1.0.0.76-1
sudo 1.9.13.p3-1
svt-av1 1.5.0-1
sxhkd 0.6.2-3
syncthing 1.23.4-2
syndication 5.106.0-1
syntax-highlighting 5.106.0-1
sysfsutils 2.1.1-1
systemd 253.4-1
systemd-libs 253.4-1
systemd-sysvcompat 253.4-1
taglib 1.13-1
talloc 2.4.0-3
tar 1.34-2
tdb 1.4.8-2
tevent 1:0.14.1-2
texinfo 7.0.3-1
thin-provisioning-tools 1.0.4-1
tpm2-tss 4.0.1-1
tracker3 3.5.2-1
tree-sitter 0.20.8-3
tslib 1.22-1
ttf-apple-emoji 15.4-1
ttf-bitstream-vera 1.10-15
ttf-croscore 20220810-2
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-droid 20121017-10
ttf-ibm-plex 6.1.1-1
ttf-jetbrains-mono 2.304-1
ttf-liberation 2.1.5-1
tzdata 2023c-2
uchardet 0.0.8-1
udisks2 2.9.4-1
ufw 0.36.2-1
unibilium 2.1.1-1
unrar 1:6.2.7-1
upower 1.90.0-4
usbmuxd 1.1.1-3
usbutils 015-2
util-linux 2.38.1-4
util-linux-libs 2.38.1-4
v4l-utils 1.24.1-1
vid.stab 1.1.1-1
virtualbox-guest-utils-nox 7.0.8-2
vmaf 2.3.1-1
volume_key 0.3.12-8
vulkan-icd-loader 1.3.245-1
wayland 1.22.0-1
wayland-protocols 1.31-1
webkit2gtk 2.40.1-2
webkit2gtk-4.1 2.40.1-2
webkit2gtk-5.0 2.38.6-1
webrtc-audio-processing 0.3.1-3
which 2.21-6
woff2 1.0.2-4
wpa_supplicant 2:2.10-8
wpebackend-fdo 1.14.2-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xapp 2.4.3-2
xcb-proto 1.15.2-3
xcb-util 0.4.1-1
xcb-util-cursor 0.1.4-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xdg-dbus-proxy 0.1.4-1
xdg-utils 1.1.3+25+g8ae0263-1
xf86-input-libinput 1.3.0-1
xf86-video-fbdev 0.5.0-3
xf86-video-vesa 2.6.0-1
xfsprogs 6.2.0-1
xkeyboard-config 2.38-1
xorg-bdftopcf 1.1.1-1
xorg-docs 1.7.2-2
xorg-font-util 1.4.0-1
xorg-fonts-100dpi 1.0.4-2
xorg-fonts-75dpi 1.0.4-1
xorg-fonts-alias-100dpi 1.0.5-1
xorg-fonts-alias-75dpi 1.0.5-1
xorg-fonts-encodings 1.0.7-1
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.8-1
xorg-server-common 21.1.8-1
xorg-server-devel 21.1.8-1
xorg-server-xephyr 21.1.8-1
xorg-server-xnest 21.1.8-1
xorg-server-xvfb 21.1.8-1
xorg-sessreg 1.1.3-1
xorg-setxkbmap 1.3.4-1
xorg-smproxy 1.0.7-1
xorg-util-macros 1.20.0-2
xorg-x11perf 1.6.2-1
xorg-xauth 1.1.2-1
xorg-xbacklight 1.2.3-3
xorg-xcmsdb 1.0.6-1
xorg-xcursorgen 1.0.8-1
xorg-xdpyinfo 1.3.4-1
xorg-xdriinfo 1.0.7-1
xorg-xev 1.2.5-1
xorg-xgamma 1.0.7-1
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.6-1
xorg-xkbevd 1.1.5-1
xorg-xkbutils 1.0.5-1
xorg-xkill 1.0.6-1
xorg-xlsatoms 1.1.4-1
xorg-xlsclients 1.1.5-1
xorg-xmodmap 1.0.11-1
xorg-xpr 1.1.0-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.1-1
xorg-xrefresh 1.0.7-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xvinfo 1.1.5-1
xorg-xwayland 23.1.1-1
xorg-xwd 1.0.8-1
xorg-xwininfo 1.1.6-1
xorg-xwud 1.0.6-1
xorgproto 2022.2-1
xvidcore 1.3.7-2
xz 5.4.3-1
yajl 2.1.0-5
zathura 0.5.2-2
zathura-pdf-poppler 0.3.1-2
zenity 3.44.1-1
zeromq 4.3.4-2
zimg 3.0.4-1
zlib 1:1.2.13-2
zstd 1.5.5-1

